year,quarter,region,area,level_of_edu,value,unit,source
2561,Quarter 1,ภาคเหนือ,ในเขตเทศบาล,No Data,62.43,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคเหนือ,นอกเขตเทศบาล,Total,66.57,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคเหนือ,นอกเขตเทศบาล,No Education,52.81,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคเหนือ,นอกเขตเทศบาล,Below Primary Education,60.77,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคเหนือ,นอกเขตเทศบาล,Primary Education,77.94,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคเหนือ,นอกเขตเทศบาล,Lower Secondary Education,61.74,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคเหนือ,นอกเขตเทศบาล,Upper Secondary Education - General Track,71.11,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคเหนือ,นอกเขตเทศบาล,Upper Secondary Education - Vocational Track,63.9,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคเหนือ,นอกเขตเทศบาล,Upper Secondary Education - Academic Track,73.58,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคเหนือ,นอกเขตเทศบาล,Higher Education - Academic Track,87.43,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคเหนือ,นอกเขตเทศบาล,Higher Education - Vocational Track,79.47,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคเหนือ,นอกเขตเทศบาล,Higher Education - Teacher Education Track,72.99,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคเหนือ,นอกเขตเทศบาล,Other Education,83.53,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคเหนือ,นอกเขตเทศบาล,No Data,25.95,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคตะวันออกเฉียงเหนือ,Total,Total,60.9,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคตะวันออกเฉียงเหนือ,Total,No Education,27.89,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคตะวันออกเฉียงเหนือ,Total,Below Primary Education,49.63,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคตะวันออกเฉียงเหนือ,Total,Primary Education,73.09,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคตะวันออกเฉียงเหนือ,Total,Lower Secondary Education,51.75,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคตะวันออกเฉียงเหนือ,Total,Upper Secondary Education - General Track,68.21,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคตะวันออกเฉียงเหนือ,Total,Upper Secondary Education - Vocational Track,62.39,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคตะวันออกเฉียงเหนือ,Total,Upper Secondary Education - Academic Track,16.13,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคตะวันออกเฉียงเหนือ,Total,Higher Education - Academic Track,85.2,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคตะวันออกเฉียงเหนือ,Total,Higher Education - Vocational Track,83.1,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคตะวันออกเฉียงเหนือ,Total,Higher Education - Teacher Education Track,73.83,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคตะวันออกเฉียงเหนือ,Total,Other Education,0.0,Percentage,National Statistical Office of Thailand
